m,unknowns,carry_bits
19549,104,91
21971,104,91
22663,105,91
23701,105,91
24047,105,91
25777,105,91
26123,105,91
27161,105,91
28199,105,91
28891,105,91
29929,105,91
537,44,36
895,45,36
1253,54,45
1969,55,45
2327,65,55
3043,66,55
3401,66,55
4117,77,66
5191,77,66
5549,77,66
6623,78,66
7339,78,66
7697,78,66
8413,90,78
9487,90,78
10561,90,78
10919,90,78
11993,91,78
12709,91,78
13067,91,78
14141,91,78
14857,91,78
15931,91,78
17363,104,91
18079,104,91
18437,104,91
19153,104,91
19511,104,91
20227,104,91
22733,104,91
23449,105,91
24523,105,91
24881,105,91
26671,105,91
27029,105,91
28103,105,91
29177,105,91
29893,105,91
30967,105,91
32041,105,91
543,44,36
905,45,36
1267,54,45
1991,55,45
2353,65,55
3077,66,55
3439,66,55
4163,77,66
5249,77,66
5611,77,66
6697,78,66
7421,78,66
7783,78,66
8507,90,78
9593,90,78
10679,90,78
11041,90,78
12127,91,78
12851,91,78
13213,91,78
14299,91,78
15023,91,78
16109,91,78
17557,104,91
18281,104,91
18643,104,91
19367,104,91
19729,104,91
20453,104,91
22987,104,91
23711,105,91
24797,105,91
25159,105,91
26969,105,91
27331,105,91
28417,105,91
29503,105,91
30227,105,91
31313,105,91
32399,105,91
32761,105,91
573,44,36
955,45,36
1337,54,45
2101,65,55
2483,65,55
3247,66,55
3629,66,55
4393,77,66
5539,77,66
5921,77,66
7067,78,66
7831,78,66
8213,90,78
8977,90,78
10123,90,78
11269,90,78
11651,90,78
12797,91,78
13561,91,78
13943,91,78
15089,91,78
15853,91,78
16999,104,91
18527,104,91
19291,104,91
19673,104,91
20437,104,91
20819,104,91
21583,104,91
24257,104,91
25021,105,91
26167,105,91
26549,105,91
28459,105,91
28841,105,91
29987,105,91
31133,105,91
31897,105,91
33043,119,105
34189,119,105
34571,119,105
36481,119,105
579,44,36
965,45,36
1351,54,45
2123,65,55
2509,65,55
3281,66,55
3667,66,55
4439,77,66
5597,77,66
5983,77,66
7141,78,66
7913,78,66
8299,90,78
9071,90,78
10229,90,78
11387,90,78
11773,90,78
12931,91,78
13703,91,78
14089,91,78
15247,91,78
16019,91,78
17177,104,91
18721,104,91
19493,104,91
19879,104,91
20651,104,91
21037,104,91
21809,104,91
24511,104,91
25283,105,91
26441,105,91
26827,105,91
28757,105,91
29143,105,91
30301,105,91
31459,105,91
32231,105,91
33389,119,105
34547,119,105
34933,119,105
36863,119,105
37249,119,105
591,44,36
985,45,36
1379,54,45
2167,65,55
2561,65,55
3349,66,55
3743,66,55
4531,77,66
5713,77,66
6107,77,66
7289,78,66
8077,78,66
8471,90,78
9259,90,78
10441,90,78
11623,90,78
12017,90,78
13199,91,78
13987,91,78
14381,91,78
15563,91,78
16351,91,78
17533,104,91
19109,104,91
