m,unknowns,carry_bits
9703,26,18
11581,26,17
12833,34,23
13459,32,22
14711,27,18
16589,35,24
18467,35,25
19093,36,25
20971,27,18
22223,24,16
22849,30,20
24727,35,25
25979,35,24
27857,39,27
30361,39,27
31613,38,26
32239,32,22
33491,40,29
34117,41,29
35369,42,30
39751,38,28
41003,34,24
42881,36,25
43507,30,20
46637,35,24
47263,30,21
49141,32,21
51019,41,29
52271,36,25
54149,43,30
56027,40,28
56653,42,29
59783,38,27
60409,42,29
61661,43,30
62287,37,26
66043,43,31
69799,41,30
71051,44,32
71677,45,32
72929,45,32
74807,41,30
75433,46,33
78563,43,31
80441,31,21
82319,33,23
84197,38,26
84823,35,25
86701,38,26
87953,40,28
88579,38,27
91709,39,27
96091,37,26
97343,34,24
97969,39,27
